Country,ISO3,Rank,Total Population,Manpower,Fit-for-Service,Reaching Military Age,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Fighter Aircraft,Attack Aircraft,Transport Aircraft,Trainer Aircraft,Total Helicopter Strength,Attack Helicopters,Combat Tanks,Armored Fighting Vehicles,Self-Propelled Artillery,Towed Artillery,Rocket Projectors,Total Naval Assets,Aircraft Carriers,Frigates,Destroyers,Corvettes,Submarines,Patrol Craft,Mine Warfare Vessels,Production (bbl/dy),Consumption (bbl/dy),Proven Reserves (bbl),Labor Force,Merchant Marine Strength,Major Ports / Terminals,Roadway Coverage (km),Railway Coverage (km),Serivecable Airports,Defense Budget,External Debt,Foreign Exchange / Gold,Purchasing Power Parity,Square Land Area (km),Coastline (km),Shared Borders (km),Waterways (km)
United States,USA,1,323995528,145215000,120025000,4220000,2363675,1373650,990025,13762,2296,2785,5739,2831,6065,947,5884,41062,1934,1299,1331,415,19,8,63,0,70,13,11,8653000,19000000,36520000000,158600000,393,24,6586610,224792,13513,587800,17910000,117600,18560000,9826675,19924,12048,41009
Russia,RUS,2,142355415,70000000,47000000,1355000,3371027,798527,2572500,3794,806,1438,1124,387,1389,490,20216,31298,5972,4625,3793,352,1,6,15,81,63,28,46,10110000,3320000,80000000000,77410000,1143,7,982000,87157,1218,44600,514800,365500,3745000,17098242,37653,22408,102000
China,CHN,3,1373541278,750000000,619000000,19550000,3712500,2260000,1452500,2955,1271,1385,782,352,912,206,6457,4788,1710,6246,1770,714,1,51,35,35,68,220,31,4189000,10120000,25000000000,805900000,2030,15,3860800,86000,507,161700,983500,3092000,21270000,9596961,14500,22457,110000
India,IND,4,1266883598,616000000,489600000,22900000,4207250,1362500,2844750,2102,676,809,857,323,666,16,4426,6704,290,7414,292,295,3,14,11,23,15,139,6,767600,3510000,5675000000,513700000,340,7,3320410,63974,346,51000,507000,359100,8721000,3287263,7000,13888,14500
France,FRA,5,66836154,30000000,23750000,775000,387635,204000,183635,1305,296,284,662,283,610,49,406,6863,325,233,44,118,4,11,4,0,10,17,18,15340,1770000,84080000,30480000,162,14,951200,29640,464,35000,5360000,138200,2737000,643801,4853,4072,8501
United Kingdom,UKD,6,64430428,30000000,24040000,750000,232675,151175,81500,856,88,168,337,329,347,39,249,5948,89,138,42,76,2,13,6,0,11,4,15,787200,1510000,2800000000,33170000,504,14,394428,16454,460,45700,8126000,129600,2788000,243610,12429,443,3200
Japan,JPN,7,126702133,54000000,44000000,1215000,311875,248575,63300,1594,288,287,481,447,659,119,700,2850,202,500,99,131,4,0,42,6,17,6,25,4666,4530800,541600000,65930000,684,10,1210251,27182,175,43800,3240000,1233000,4932000,377915,29751,0,1770
Turkey,TUR,8,80274604,41640000,35010000,1375000,743415,382850,360565,1018,207,207,439,276,455,70,2445,7550,1013,697,811,194,0,16,0,9,12,34,11,47670,720000,300000000,30240000,629,9,352046,8699,98,8208,410400,115000,1670000,783562,7200,2816,1200
Germany,GER,9,80722792,37000000,29540000,791000,210000,180000,30000,698,92,169,345,47,375,47,543,5869,154,0,50,81,0,10,0,5,6,4,13,48830,2400000,100000000,45300000,427,13,644480,41981,539,39200,5326000,173700,3979000,357022,2389,3694,7467
Egypt,EGP,10,94666993,42000000,35306000,1535000,1329250,454250,875000,1132,337,427,260,384,257,46,4110,13949,889,2360,1481,319,2,9,0,2,5,227,23,478400,740000,4400000000,31960000,67,7,65050,5083,83,4400,50670,15060,1105000,1001450,2450,2612,3500
Italy,ITA,11,62007540,28000000,22600000,570000,267500,247500,20000,822,79,185,424,189,430,59,200,6972,164,92,21,143,2,14,4,4,7,10,10,105700,1315000,544500000,25600000,681,9,487700,20255,129,34000,2444000,130600,2221000,301340,7600,1836,2400
South Korea,SKO,12,50924172,25610000,21035000,690000,5829750,627500,5202250,1477,406,448,348,273,709,81,2654,2660,1990,5374,214,166,1,13,12,16,15,70,11,500,2325000,0,27250000,786,8,103029,3381,111,43800,385600,372700,1929000,99720,2413,237,1600
Pakistan,PAK,13,201995540,95000000,75325000,4345000,919000,637000,282000,951,301,394,261,190,316,52,2924,2828,465,3278,134,197,0,10,0,0,8,17,3,93630,440000,400000000,65100000,11,2,260760,7791,151,7000,64040,20530,988200,796095,1046,7257,25220
Indonesia,INO,14,258316051,130000000,107540000,4500000,975750,435750,540000,441,39,58,170,111,147,5,418,1089,37,80,86,221,0,7,0,24,4,74,12,789800,1660000,3693000000,123700000,1340,9,437759,5042,673,6900,344700,106400,3028000,1904569,54716,2958,21579
Israel,ISR,15,8174527,3600000,3000000,122000,718250,168250,550000,652,243,243,101,219,143,48,2620,10185,650,300,48,65,0,0,0,3,6,32,0,400,240000,13950000,3927000,8,4,18290,975,47,15500,91080,97220,297000,20770,273,1068,Minimum not met.
Vietnam,VTN,16,95261021,50650000,41505000,1640000,5488500,448500,5040000,278,76,73,161,25,137,25,1545,3150,524,2200,1100,65,0,7,0,13,6,25,8,298400,415000,4400000000,54930000,579,6,180549,2632,45,3365,78880,34660,594900,331210,3444,4616,17702
Brazil,BRA,17,205823665,107000000,84000000,3410000,1987000,334500,1652500,697,43,121,369,175,230,12,469,1707,112,563,180,110,0,9,0,4,5,34,6,2255000,3100000,16000000000,110400000,109,15,1751868,28538,4093,24500,544100,352100,3135000,8514877,7491,16145,50000
Taiwan,TAI,18,23464787,12200000,10030000,325000,1932500,257500,1675000,850,286,287,189,203,345,91,2005,4350,482,1160,72,87,0,20,4,1,4,51,8,200,975000,10060000,11680000,112,4,41475,1580,37,10725,155400,456900,1125000,35980,1566,0,3720
Poland,POL,19,38523261,19000000,15585000,435000,184650,109650,75000,465,99,99,229,98,211,29,1065,2608,443,72,240,83,0,2,0,2,5,3,25,19260,512000,100000000,17780000,9,4,423997,19428,126,9360,344800,90210,1052000,312685,440,2845,3997
Thailand,THA,20,68200824,35500000,27500000,1045000,627425,335425,292000,555,76,95,327,154,294,7,737,2614,26,695,13,81,1,8,0,7,0,32,7,232900,1005000,400000000,38450000,363,5,180053,4071,101,5390,137100,181400,1161000,513120,3219,5673,4000
Iran,IRN,21,82801633,47000000,39570000,1400000,934000,534000,400000,477,137,137,203,79,126,12,1616,1315,320,2078,1474,398,0,5,0,3,33,230,10,3236000,1870000,157800000000,29750000,76,3,172927,8442,319,6300,7116,135500,1459000,1648195,2440,5894,850
